windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,arm,hgbr_depth,a_pos,a_neg,combine,cond_gain
2007,93.27354260089686,82.94935344286871,88.11144802188278,53.55560184558248,44.1534515035299,14.414540122626642,-14.017195654385787,D,2018-01-01,2024-06-30,73.41457222323967,C: cond g=0.0 a+=3.0 a-=1.0,C,,3.0,1.0,,0.0
2007,93.62232187344294,79.87219398473123,86.74725792908708,53.05686465802235,44.1534515035299,13.915802935066498,-12.792925107716552,D,2018-01-01,2024-06-30,73.33959326573265,C: cond g=0.25 a+=3.0 a-=1.0,C,,3.0,1.0,,0.25
2007,93.47284504235176,73.79585688183218,83.63435096209197,52.7767617489322,44.1534515035299,13.635700025976359,-5.13633023381837,D,2018-01-01,2024-06-30,73.12480339564198,C: cond g=0.0 a+=2.0 a-=2.0,C,,2.0,2.0,,0.0
2007,94.02092675635276,76.59797453522388,85.30945064578833,52.093560175250055,44.1534515035299,12.952498452294206,-11.539351213213905,D,2018-01-01,2024-06-30,73.0572434658014,C: cond g=0.5 a+=3.0 a-=1.0,C,,3.0,1.0,,0.5
2007,93.92127553562531,73.86823734657742,83.89475644110136,51.87644367380296,44.1534515035299,12.735381950847117,-5.2770347617132565,D,2018-01-01,2024-06-30,72.89885960471413,C: cond g=0.0 a+=2.0 a-=1.0,C,,2.0,1.0,,0.0
2007,93.42301943198804,71.440616972919,82.43181820245351,51.67514022094221,44.1534515035299,12.534078497986362,-4.897990665190388,D,2018-01-01,2024-06-30,72.54907982646512,C: cond g=0.25 a+=2.0 a-=2.0,C,,2.0,2.0,,0.25
2007,93.77179870453412,71.5609054170237,82.6663520607789,50.69855424913341,44.1534515035299,11.557492526177567,-4.734739861045259,D,2018-01-01,2024-06-30,72.23517647683377,C: cond g=0.25 a+=2.0 a-=1.0,C,,2.0,1.0,,0.25
2007,92.57598405580468,69.33204767006387,80.95401586293428,50.286538724362615,44.1534515035299,11.145477001406764,-4.550366259745402,D,2018-01-01,2024-06-30,71.43126139008365,C: cond g=0.5 a+=2.0 a-=2.0,C,,2.0,2.0,,0.5
2007,93.12406576980567,69.49536123600289,81.30971350290429,49.31798091783545,44.1534515035299,10.17691919487961,-4.838405915667423,D,2018-01-01,2024-06-30,71.22102334382056,C: cond g=0.5 a+=2.0 a-=1.0,C,,2.0,1.0,,0.5
2007,82.66068759342302,57.37475780948356,70.0177227014533,46.25253825839815,44.1534515035299,7.111476535442302,-6.09964859113574,D,2018-01-01,2024-06-30,64.45661292591058,B: families avg a+=3.0 a-=1.0,B,2.0,3.0,1.0,avg,
