windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,top_k,halflife,a_pos,a_neg,features
2007,61.58445440956651,42.60501804483572,52.09473622720111,45.33029200401456,44.1534515035299,6.189230281058706,-11.383624679271588,D,2018-01-01,2024-06-30,53.457373206790535,top4 hl=none a+=3.0 a-=1.0,4,0.0,3.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,59.29247633283508,40.768296189775384,50.03038626130523,43.805106643999885,44.1534515035299,4.664044921044042,-7.666179495588722,D,2018-01-01,2024-06-30,51.54879148841748,top4 hl=none a+=2.0 a-=1.0,4,0.0,2.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,59.44195316392625,39.94539970119302,49.693676432559634,42.737562190852834,44.1534515035299,3.596500467896994,-20.250433300613256,D,2018-01-01,2024-06-30,51.08975767738954,top5 hl=none a+=3.0 a-=1.0,5,0.0,3.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,57.74788241155954,37.99684978504492,47.87236609830223,43.76438052676808,44.1534515035299,4.623318803812237,-9.35403432321715,D,2018-01-01,2024-06-30,50.756131469163805,top4 hl=1460 a+=3.0 a-=1.0,4,1460.0,3.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,56.85102142501246,37.15636444017672,47.00369293259459,43.32957861319454,44.1534515035299,4.188516890238705,-17.406305969694664,D,2018-01-01,2024-06-30,50.0903000191035,top5 hl=1460 a+=3.0 a-=1.0,5,1460.0,3.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,55.75485799701047,36.6301250271305,46.19249151207048,43.59091275307916,44.1534515035299,4.4498510301233205,-10.602470282031732,D,2018-01-01,2024-06-30,49.672885375044814,top4 hl=none a+=2.0 a-=2.0,4,0.0,2.0,2.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,56.70154459392127,38.02401775079932,47.36278117236029,42.55249559726591,44.1534515035299,3.411433874310067,-8.126907585287391,D,2018-01-01,2024-06-30,49.62702009559359,top4 hl=1460 a+=2.0 a-=1.0,4,1460.0,2.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,54.40956651718983,36.99201659472326,45.70079155595654,43.88090903818056,44.1534515035299,4.739847315224722,-9.855886585897128,D,2018-01-01,2024-06-30,49.145237777685196,top4 hl=730 a+=3.0 a-=1.0,4,730.0,3.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,54.359740906826104,36.99957384636072,45.67965737659341,42.61261973808356,44.1534515035299,3.4715580151277203,-9.612235547214667,D,2018-01-01,2024-06-30,48.48618032245483,top4 hl=730 a+=2.0 a-=1.0,4,730.0,2.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,53.51270553064275,36.413819261133185,44.963262395887966,43.28559472559213,44.1534515035299,4.144533002636285,-13.92258547249736,D,2018-01-01,2024-06-30,48.39915012811744,top5 hl=730 a+=3.0 a-=1.0,5,730.0,3.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,52.964623816641755,39.081138827842835,46.0228813222423,41.732349057622834,44.1534515035299,2.591287334666988,-18.108796490198376,D,2018-01-01,2024-06-30,47.348486437132294,top5 hl=none a+=2.0 a-=1.0,5,0.0,2.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,50.82212257100149,32.836688283120345,41.82940542706092,42.35175600512668,44.1534515035299,3.2106942821708357,-14.943321031101526,D,2018-01-01,2024-06-30,46.58693928806409,top4 hl=1460 a+=2.0 a-=2.0,4,1460.0,2.0,2.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,50.074738415545596,37.24704397936738,43.66089119745649,42.214998370754984,44.1534515035299,3.0739366477991448,-11.238670740545487,D,2018-01-01,2024-06-30,46.14486839315029,top5 hl=1460 a+=2.0 a-=1.0,5,1460.0,2.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,47.18485301444943,36.41924557061286,41.802049292531144,42.05448913624568,44.1534515035299,2.9134274132898335,-10.332727029366566,D,2018-01-01,2024-06-30,44.619671075347554,top5 hl=730 a+=2.0 a-=1.0,5,730.0,2.0,1.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,45.73991031390135,34.20783250789812,39.97387141089973,40.6075387367449,44.1534515035299,1.4664770137890628,-18.25838351464786,D,2018-01-01,2024-06-30,43.173724525323124,top5 hl=none a+=2.0 a-=2.0,5,0.0,2.0,2.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,43.796711509716,30.78299960269171,37.289855556203854,42.128044753893626,44.1534515035299,2.9869830309377807,-17.896989076911538,D,2018-01-01,2024-06-30,42.96237813180481,top4 hl=730 a+=2.0 a-=2.0,4,730.0,2.0,2.0,cycle_pos;exch_share_chg;adr_mom;mvrv
2007,43.09915296462382,31.319706399912093,37.20942968226795,41.007055305792264,44.1534515035299,1.8659935828364158,-17.829999648760012,D,2018-01-01,2024-06-30,42.053104135208045,top5 hl=1460 a+=2.0 a-=2.0,5,1460.0,2.0,2.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
2007,41.604384653712,29.796662245566864,35.700523449639434,40.78937727783966,44.1534515035299,1.648315554883817,-19.22217884118222,D,2018-01-01,2024-06-30,41.19688096577583,top5 hl=730 a+=2.0 a-=2.0,5,730.0,2.0,2.0,cycle_pos;exch_share_chg;adr_mom;mvrv;roi_1yr
