[ 30/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 72.60 meanpct 46.56 sel 59.58 (207s)
[ 31/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 70.40 meanpct 44.96 sel 57.68 (214s)
[ 32/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 69.46 meanpct 46.58 sel 58.02 (221s)
[ 33/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 73.59 meanpct 45.43 sel 59.51 (228s)
[ 34/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 72.80 meanpct 46.99 sel 59.89 (235s)
[ 35/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 70.85 meanpct 45.39 sel 58.12 (242s)
[ 36/216] {'a_ma': 0.0, 'a_dd': 0.0, 'a_mvrv': 2.0, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 69.61 meanpct 46.99 sel 58.30 (248s)
[ 37/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 72.25 meanpct 42.38 sel 57.31 (255s)
[ 38/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 72.25 meanpct 42.38 sel 57.31 (262s)
[ 39/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 72.40 meanpct 43.21 sel 57.80 (269s)
[ 40/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 72.45 meanpct 43.21 sel 57.83 (276s)
[ 41/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 73.19 meanpct 43.08 sel 58.14 (283s)
[ 42/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 73.24 meanpct 43.16 sel 58.20 (290s)
[ 43/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 3.0} -> win 72.60 meanpct 43.72 sel 58.16 (297s)
[ 44/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.15, 'bias': 0.2, 'm_max': 5.0} -> win 72.70 meanpct 44.00 sel 58.35 (304s)
[ 45/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 3.0} -> win 72.45 meanpct 43.58 sel 58.01 (311s)
[ 46/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.0, 'm_max': 5.0} -> win 72.60 meanpct 44.01 sel 58.30 (318s)
[ 47/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 3.0} -> win 72.20 meanpct 44.02 sel 58.11 (325s)
[ 48/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 0.5, 'a_flow': 0.3, 'bias': 0.2, 'm_max': 5.0} -> win 72.35 meanpct 44.72 sel 58.53 (332s)
[ 49/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 3.0} -> win 70.15 meanpct 43.71 sel 56.93 (339s)
[ 50/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.0, 'm_max': 5.0} -> win 70.30 meanpct 44.33 sel 57.32 (346s)
[ 51/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 3.0} -> win 70.95 meanpct 43.88 sel 57.42 (353s)
[ 52/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.0, 'bias': 0.2, 'm_max': 5.0} -> win 71.15 meanpct 44.98 sel 58.07 (360s)
[ 53/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 3.0} -> win 71.50 meanpct 44.08 sel 57.79 (367s)
[ 54/216] {'a_ma': 0.0, 'a_dd': 0.5, 'a_mvrv': 1.0, 'a_flow': 0.15, 'bias': 0.0, 'm_max': 5.0} -> win 71.70 meanpct 45.05 sel 58.38 (374s)
