windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,model,matrix,features,a_ml
2007,87.34429496761335,70.72796625723139,79.03613061242237,51.47405588487468,44.1534515035299,12.332994161918826,-9.302899580968596,D,2018-01-01,2024-06-30,69.40917542624402,hgbr v2-top3 a=2.0,hgbr,v2,cycle_pos;exch_share_chg;fee_mom,2.0
2007,85.89935226706528,58.1552748468098,72.02731355693754,45.90407104018614,44.1534515035299,6.7630093172303,-8.357718959327297,D,2018-01-01,2024-06-30,65.90171165362571,hgbr v2-top3 a=1.0,hgbr,v2,cycle_pos;exch_share_chg;fee_mom,1.0
2007,69.40707523667164,56.944657075958176,63.17586615631491,48.320256833908424,44.1534515035299,9.179195110952579,-14.090275416891675,D,2018-01-01,2024-06-30,58.86366603529004,ridge v2-top3 a=2.0,ridge,v2,cycle_pos;exch_share_chg;fee_mom,2.0
2007,69.45690084703537,52.11663421008917,60.786767528562265,45.81452959028285,44.1534515035299,6.673467867327008,-11.816477230898677,D,2018-01-01,2024-06-30,57.635715218659115,ridge v2-top3 a=1.0,ridge,v2,cycle_pos;exch_share_chg;fee_mom,1.0
2007,49.62630792227205,77.93991563538232,63.783111778827184,44.32547502946655,44.1534515035299,5.184413306510702,-20.765457175235642,D,2018-01-01,2024-06-30,46.975891475869304,hgbr v2-top5 a=2.0,hgbr,v2,cycle_pos;exch_share_chg;fee_mom;fg_z;hash_mom,2.0
2007,49.57648231190832,67.48841206652321,58.532447189215766,42.26348396566416,44.1534515035299,3.1224222427083186,-17.647722844316718,D,2018-01-01,2024-06-30,45.919983138786236,hgbr v2-top5 a=1.0,hgbr,v2,cycle_pos;exch_share_chg;fee_mom;fg_z;hash_mom,1.0
2007,29.397110114598902,41.68564362680991,35.54137687070441,39.990601441533926,44.1534515035299,0.8495397185780771,-10.648489706415099,D,2018-01-01,2024-06-30,34.693855778066414,ridge v2-top5 a=1.0,ridge,v2,cycle_pos;exch_share_chg;fee_mom;fg_z;hash_mom,1.0
2007,28.251121076233183,40.034613525408545,34.14286730082087,38.960361455935015,44.1534515035299,-0.18070026702082242,-16.010316550859706,D,2018-01-01,2024-06-30,33.605741266084095,ridge v2-top5 a=2.0,ridge,v2,cycle_pos;exch_share_chg;fee_mom;fg_z;hash_mom,2.0
