windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,arm,m_max,a_pos,a_neg,horizons,phase_depth,phase_def,phase_target
2007,94.31988041853513,87.88115731705743,91.10051886779628,55.27072404930205,44.1534515035299,16.129662326346207,-19.736900411626515,D,2018-01-01,2024-06-30,74.79530223391859,R: a+=5.0 a-=1.0 mmax=16.0,R,16.0,5.0,1.0,,,,
2007,93.72197309417041,88.09907725685159,90.910525175511,55.82378067597265,44.1534515035299,16.6827189530168,-19.70964590434322,D,2018-01-01,2024-06-30,74.77287688507153,R: a+=5.0 a-=1.5 mmax=16.0,R,16.0,5.0,1.5,,,,
2007,94.46935724962631,86.44284806107946,90.45610265535288,54.49425148516943,44.1534515035299,15.353189762213589,-18.105927742648248,D,2018-01-01,2024-06-30,74.48180436739787,R: a+=5.0 a-=1.0 mmax=12.0,R,12.0,5.0,1.0,,,,
2007,93.87144992526159,86.63346244833451,90.25245618679804,55.04397898079883,44.1534515035299,15.902917257842999,-18.051771951668343,D,2018-01-01,2024-06-30,74.4577144530302,R: a+=5.0 a-=1.5 mmax=12.0,R,12.0,5.0,1.5,,,,
2007,93.17389138016941,87.37979367986021,90.27684253001482,55.60933731690328,44.1534515035299,16.468275593947435,-18.406461022349248,D,2018-01-01,2024-06-30,74.39161434853634,R: a+=4.0 a-=1.5 mmax=16.0,R,16.0,4.0,1.5,,,,
2007,93.72197309417041,87.17531119788555,90.44864214602798,55.016851417163934,44.1534515035299,15.875789694208093,-18.448936041318433,D,2018-01-01,2024-06-30,74.36941225566717,R: a+=4.0 a-=1.0 mmax=16.0,R,16.0,4.0,1.0,,,,
2007,93.5226706527155,82.94874579142648,88.235708222071,54.74413344351822,44.1534515035299,15.603071720562374,-16.055090337288583,D,2018-01-01,2024-06-30,74.13340204811686,P: mid slopes depth=0.5,P,12.0,3.0,1.0,,0.5,mid,slopes
2007,93.3233682112606,85.92238744351785,89.62287782738923,54.77252197702873,44.1534515035299,15.631460254072891,-17.141249162573164,D,2018-01-01,2024-06-30,74.04794509414467,R: a+=4.0 a-=1.5 mmax=12.0,R,12.0,4.0,1.5,,,,
2007,93.82162431489786,85.74496355273867,89.78329393381827,54.190513357113254,44.1534515035299,15.049451634157405,-17.210053725834356,D,2018-01-01,2024-06-30,74.00606883600555,R: a+=4.0 a-=1.0 mmax=12.0,R,12.0,4.0,1.0,,,,
2007,94.51918285999004,83.11402779490852,88.81660532744928,53.40006633708769,44.1534515035299,14.259004614131838,-14.410336588933468,D,2018-01-01,2024-06-30,73.95962459853887,R: a+=3.0 a-=0.5 mmax=16.0,R,16.0,3.0,0.5,,,,
2007,92.87493771798705,83.47954164785553,88.17723968292128,54.97055379856509,44.1534515035299,15.829492075609252,-13.994935616513203,D,2018-01-01,2024-06-30,73.92274575827608,R: a+=3.0 a-=1.5 mmax=16.0,R,16.0,3.0,1.5,,,,
2007,93.42301943198804,83.39717208941859,88.41009576070331,54.334318521526484,44.1534515035299,15.193256798570642,-14.096884424779603,D,2018-01-01,2024-06-30,73.87866897675727,P: late ceiling depth=0.5,P,12.0,3.0,1.0,,0.5,late,ceiling
2007,93.42301943198804,82.94908691916694,88.18605317557748,54.31276082727001,44.1534515035299,15.171699104314166,-15.331713478592732,D,2018-01-01,2024-06-30,73.86789012962902,P: mid slopes depth=0.25,P,12.0,3.0,1.0,,0.25,mid,slopes
2007,93.37319382162431,83.34761665848875,88.36040524005654,54.353256364645475,44.1534515035299,15.212194641689635,-14.12415786390962,D,2018-01-01,2024-06-30,73.8632250931349,R: a+=3.0 a-=1.0 mmax=16.0,R,16.0,3.0,1.0,,,,
2007,93.72197309417041,83.57501431309564,88.64849370363302,53.97935201382798,44.1534515035299,14.838290290872136,-17.023591464338452,D,2018-01-01,2024-06-30,73.8506625539992,T: H30+90 top3 a+=4.0 a-=1.0,T,12.0,4.0,1.0,30;90,,,
2007,93.47284504235176,82.94874201598019,88.21079352916598,54.202256267264204,44.1534515035299,15.061194544308359,-16.055090337288583,D,2018-01-01,2024-06-30,73.83755065480798,P: mid buy depth=0.5,P,12.0,3.0,1.0,,0.5,mid,buy
2007,93.42301943198804,82.94908498575775,88.1860522088729,53.98977517650984,44.1534515035299,14.848713453553994,-15.331713478592732,D,2018-01-01,2024-06-30,73.70639730424894,P: mid buy depth=0.25,P,12.0,3.0,1.0,,0.25,mid,buy
2007,93.42301943198804,82.94936345677104,88.18619144437955,53.979934193909735,44.1534515035299,14.838872470953886,-14.017195654385787,D,2018-01-01,2024-06-30,73.70147681294888,P: mid ceiling depth=0.5,P,12.0,3.0,1.0,,0.5,mid,ceiling
2007,93.3233682112606,83.31986676607313,88.32161748866687,54.027169282553864,44.1534515035299,14.88610755959802,-14.138436701756454,D,2018-01-01,2024-06-30,73.67526874690724,P: late ceiling depth=0.25,P,12.0,3.0,1.0,,0.25,late,ceiling
2007,93.22371699053313,86.28767284912253,89.75569491982783,54.1204514794753,44.1534515035299,14.97938975651946,-17.67438827784399,D,2018-01-01,2024-06-30,73.67208423500422,P: late slopes depth=0.5,P,12.0,3.0,1.0,,0.5,late,slopes
2007,93.37319382162431,82.94936175583268,88.1612777887285,53.81871150570538,44.1534515035299,14.67764978274954,-14.017195654385787,D,2018-01-01,2024-06-30,73.59595266366485,P: mid ceiling depth=0.25,P,12.0,3.0,1.0,,0.25,mid,ceiling
2007,93.17389138016941,86.10347317692577,89.63868227854759,54.01766042527435,44.1534515035299,14.876598702318507,-17.734032412124492,D,2018-01-01,2024-06-30,73.59577590272188,P: late buy depth=0.5,P,12.0,3.0,1.0,,0.5,late,buy
2007,93.02441454907823,86.81891079673149,89.92166267290486,54.093507350761236,44.1534515035299,14.952445627805396,-18.543026362927964,D,2018-01-01,2024-06-30,73.55896094991974,R: a+=4.0 a-=0.5 mmax=16.0,R,16.0,4.0,0.5,,,,
2007,93.17389138016941,85.43561492952114,89.30475315484527,53.94243116008466,44.1534515035299,14.801369437128818,-16.70652244422345,D,2018-01-01,2024-06-30,73.55816127012703,P: late slopes depth=0.25,P,12.0,3.0,1.0,,0.25,late,slopes
2007,93.17389138016941,85.3285864003763,89.25123889027284,53.89092404335758,44.1534515035299,14.749862320401741,-16.748473282501806,D,2018-01-01,2024-06-30,73.5324077117635,P: late buy depth=0.25,P,12.0,3.0,1.0,,0.25,late,buy
2007,94.41953163926257,82.72873395407488,88.57413279666872,52.6217287589385,44.1534515035299,13.480667035982655,-14.306272375396585,D,2018-01-01,2024-06-30,73.52063019910054,R: a+=3.0 a-=0.5 mmax=12.0,R,12.0,3.0,0.5,,,,
2007,92.77528649725959,83.07361553809616,87.92445101767788,54.161054297702385,44.1534515035299,15.019992574746546,-13.887734315881751,D,2018-01-01,2024-06-30,73.46817039748099,R: a+=3.0 a-=1.5 mmax=12.0,R,12.0,3.0,1.5,,,,
2007,93.57249626307922,85.43435421382179,89.5034252384505,53.28310291790398,44.1534515035299,14.142041194948131,-17.363031905787256,D,2018-01-01,2024-06-30,73.4277995904916,R: a+=4.0 a-=0.5 mmax=12.0,R,12.0,4.0,0.5,,,,
2007,93.27354260089686,82.94935344286871,88.11144802188278,53.55560184558248,44.1534515035299,14.414540122626642,-14.017195654385787,D,2018-01-01,2024-06-30,73.41457222323967,R: a+=3.0 a-=1.0 mmax=12.0,R,12.0,3.0,1.0,,,,
2007,94.22022919780767,78.35924571503267,86.28973745642017,51.90181075655909,44.1534515035299,12.760749033603245,-14.382208599728479,D,2018-01-01,2024-06-30,73.06101997718338,T: H30+90 top3 a+=3.0 a-=1.0,T,12.0,3.0,1.0,30;90,,,
2007,92.67563527653215,70.18575390483974,81.43069459068595,49.17792227629644,44.1534515035299,10.03686055334059,-6.804290844295512,D,2018-01-01,2024-06-30,70.9267787764143,T: H30+90 top3 a+=2.0 a-=1.0,T,12.0,2.0,1.0,30;90,,,
