windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,model,a_ml,features,hgbr_depth,hgbr_lr
2007,94.66865969108122,73.02875024198983,83.84870496653552,50.60148382163576,44.1534515035299,11.460422098679912,-6.667150163618718,D,2018-01-01,2024-06-30,72.63507175635849,hgbr depth=2 lr=0.1,,,,2.0,0.1
2007,94.36970602889886,67.05043122385453,80.7100686263767,50.105102907506726,44.1534515035299,10.964041184550885,-8.04326847675135,D,2018-01-01,2024-06-30,72.2374044682028,hgbr depth=3 lr=0.03,,,,3.0,0.03
2007,92.17737917289487,67.37023077756116,79.77380497522802,50.07233965334594,44.1534515035299,10.931277930390099,-8.185031883269723,D,2018-01-01,2024-06-30,71.1248594131204,hgbr depth=2 lr=0.05,,,,2.0,0.05
2007,92.52615844544096,72.345740769906,82.43594960767348,49.68966603383315,44.1534515035299,10.548604310877304,-7.674851398239699,D,2018-01-01,2024-06-30,71.10791223963705,hgbr depth=3 lr=0.1,,,,3.0,0.1
2007,92.67563527653215,72.2915095857592,82.48357243114567,48.960196031428325,44.1534515035299,9.819134308472483,-8.0399078793658,D,2018-01-01,2024-06-30,70.81791565398024,hgbr depth=4 lr=0.1,,,,4.0,0.1
2007,91.08121574489287,69.4654668916234,80.27334131825813,49.49162283903096,44.1534515035299,10.350561116075117,-4.663668929998121,D,2018-01-01,2024-06-30,70.28641929196192,hgbr depth=4 lr=0.03,,,,4.0,0.03
2007,89.93522670652716,70.5994640909836,80.26734539875538,48.676386758701646,44.1534515035299,9.535325035745803,-7.344656919566326,D,2018-01-01,2024-06-30,69.3058067326144,hgbr depth=4 lr=0.05,,,,4.0,0.05
2007,90.73243647234679,67.6759048251051,79.20417064872595,47.60495405709461,44.1534515035299,8.463892334138768,-8.55277754878875,D,2018-01-01,2024-06-30,69.1686952647207,class=mlp a=2.0,mlp,,,,
2007,85.89935226706528,65.68499951427526,75.79217589067028,50.5115758651195,44.1534515035299,11.370514142163655,-8.02952567752218,D,2018-01-01,2024-06-30,68.20546406609239,hgbr depth=2 lr=0.03,,,,2.0,0.03
2007,84.90284005979073,54.403146029076424,69.65299304443357,48.94166010178304,44.1534515035299,9.80059837882719,-2.7331212336928807,D,2018-01-01,2024-06-30,66.92225008078688,class=rf a=2.0,rf,,,,
2007,78.32585949177877,78.08576964411532,78.20581456794704,52.05889392703768,44.1534515035299,12.917832204081835,-22.17161844462521,D,2018-01-01,2024-06-30,65.19237670940822,classifier target a=2.0,gbclf,2.0,,,
2007,80.16940707523668,63.475531187431336,71.822469131334,47.36879105829761,44.1534515035299,8.227729335341765,-9.259184072596696,D,2018-01-01,2024-06-30,63.76909906676714,classifier target a=1.0,gbclf,1.0,,,
2007,76.98056801195816,58.0362006818484,67.50838434690328,45.43480011556533,44.1534515035299,6.293738392609494,-16.407549196223343,D,2018-01-01,2024-06-30,61.20768406376175,quantile-25 target a=2.0,gbr_q25,2.0,,,
2007,65.8196312904833,24.960022294570994,45.389826792527145,45.45702281946969,44.1534515035299,6.315961096513852,-20.814621276973817,D,2018-01-01,2024-06-30,55.6383270549765,class=krr top5 a=2.0,krr,,hash_mom;fee_mom;cycle_pos;adr_mom;roi_1yr,,
2007,68.2112605879422,49.613480813022605,58.912370700482406,42.90658647401385,44.1534515035299,3.7655247510580057,-11.823714041239072,D,2018-01-01,2024-06-30,55.55892353097803,quantile-25 target a=1.0,gbr_q25,1.0,,,
2007,63.27852516193323,58.867536663023806,61.073030912478515,46.8990467436547,44.1534515035299,7.757985020698863,-16.466222978535654,D,2018-01-01,2024-06-30,55.08878595279397,class=enet a=2.0,enet,,,,
