windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,selection_metric,active_terms,a_ma,a_dd,a_mvrv,a_flow,bias,m_max
2007,77.97708021923269,50.880823251512076,64.42895173537238,44.63550698035779,44.1534515035299,5.494445257401943,-10.628803186990183,61.30629359979524,2,0.0,0.0,1.0,0.15,0.0,5.0
2007,76.98056801195816,49.95043967990986,63.46550384593401,45.43259481804884,44.1534515035299,6.291533095092992,-12.243317226261013,61.2065814150035,2,0.0,0.0,1.0,0.3,0.0,5.0
2007,77.92725460886896,50.88082325075626,64.40403892981261,44.42921670404575,44.1534515035299,5.288154981089912,-10.636349333314936,61.17823565645736,2,0.0,0.0,1.0,0.15,0.0,3.0
2007,79.22272047832585,46.6995596838736,62.96114008109973,42.392004976513945,44.1534515035299,3.250943253558097,-6.203263636343891,60.8073627274199,2,0.0,0.0,0.5,0.15,0.0,3.0
2007,79.22272047832585,46.6995596838736,62.96114008109973,42.392004976513945,44.1534515035299,3.250943253558097,-6.203263636343891,60.8073627274199,2,0.0,0.0,0.5,0.15,0.0,5.0
2007,76.78126557050324,49.9504396762628,63.36585262338302,44.8116633174729,44.1534515035299,5.670601594517061,-12.272976483793556,60.79646444398807,2,0.0,0.0,1.0,0.3,0.0,3.0
2007,72.79521674140508,59.67956435092022,66.23739054616266,46.98555600221299,44.1534515035299,7.84449427925715,-18.777133561914138,59.890386371809036,2,0.0,0.0,2.0,0.3,0.0,5.0
2007,72.59591429995017,60.51725813553184,66.556586217741,46.55676855431076,44.1534515035299,7.415706831354912,-17.748128232150364,59.57634142713046,2,0.0,0.0,2.0,0.15,0.0,5.0
2007,73.59242650722472,59.65150922514806,66.6219678661864,45.43076823204968,44.1534515035299,6.289706509093831,-17.709519662727867,59.5115973696372,2,0.0,0.0,2.0,0.3,0.0,3.0
2007,74.33981066268062,51.590002508392175,62.9649065855364,44.659819607182534,44.1534515035299,5.518757884226693,-15.285308291268716,59.49981513493158,4,1.0,0.0,0.5,0.3,0.2,5.0
2007,75.0373692077728,52.5297945972895,63.783581902531154,43.8430351155614,44.1534515035299,4.701973392605555,-13.872762937120598,59.4402021616671,4,1.0,0.0,0.5,0.15,0.2,5.0
2007,72.69556552067763,55.394760424788686,64.04516297273315,46.03510663873165,44.1534515035299,6.8940449157758,-15.914683877009367,59.36533607970464,3,0.0,0.0,1.0,0.3,0.2,5.0
2007,72.59591429995017,55.98942032633098,64.29266731314057,46.05247081676353,44.1534515035299,6.911409093807687,-18.444688996930793,59.32419255835685,4,1.0,0.0,1.0,0.3,0.2,5.0
2007,74.93771798704533,52.52979459692341,63.73375629198437,43.624232542363984,44.1534515035299,4.483170819408142,-13.904983334518889,59.28097526470466,4,1.0,0.0,0.5,0.15,0.2,3.0
2007,72.6457399103139,50.524689282408104,61.585214596361006,45.62949310961874,44.1534515035299,6.488431386662903,-15.358273000104155,59.13761650996632,3,1.0,0.0,1.0,0.3,0.0,5.0
2007,74.19033383158944,51.59000250643757,62.890168169013506,44.021279226313005,44.1534515035299,4.8802175033571595,-15.300776419691992,59.10580652895122,4,1.0,0.0,0.5,0.3,0.2,3.0
2007,72.6457399103139,56.898252299976576,64.77199610514523,45.541752171070286,44.1534515035299,6.400690448114441,-17.205534224488996,59.093746040692096,4,1.0,0.0,1.0,0.15,0.2,5.0
2007,72.69556552067763,56.31411433766997,64.5048399291738,45.38035201535218,44.1534515035299,6.2392902923963405,-14.451013523557332,59.0379587680149,3,0.0,0.0,1.0,0.15,0.2,5.0
2007,75.0373692077728,53.5890449554444,64.3132070816086,43.03691783630279,44.1534515035299,3.895856113346948,-13.501358817997058,59.037143522037795,3,1.0,0.0,0.5,0.0,0.2,5.0
2007,73.69207772795217,47.53027984742185,60.61117878768701,44.34732451262766,44.1534515035299,5.20626278967181,-17.244375832901984,59.01970112028991,4,1.0,0.5,0.5,0.3,0.0,5.0
2007,74.98754359740907,53.5890449554444,64.28829427642674,43.0093392249951,44.1534515035299,3.8682775020392617,-13.513620960186174,58.99844141120209,3,1.0,0.0,0.5,0.0,0.2,3.0
2007,74.2899850523169,48.47381279744693,61.38189892488191,43.644413729168136,44.1534515035299,4.503352006212294,-15.846234165555277,58.967199390742515,4,1.0,0.5,0.5,0.15,0.0,5.0
2007,74.04085700049826,46.257662898813244,60.14925994965576,43.879499622228366,44.1534515035299,4.738437899272523,-11.43676109295928,58.960178311363315,3,1.0,0.0,0.5,0.3,0.0,5.0
2007,72.89486796213254,60.50587166890642,66.70036981551948,44.974539532062956,44.1534515035299,5.833477809107112,-17.167506415672847,58.93470374709774,2,0.0,0.0,2.0,0.15,0.0,3.0
2007,71.6990533134031,56.80073343540807,64.24989337440559,46.007307178173946,44.1534515035299,6.866245455218099,-20.48868672873431,58.85318024578852,4,0.0,0.5,1.0,0.3,0.2,5.0
2007,71.94818136522171,57.418716310898354,64.68344883806003,45.71727764527571,44.1534515035299,6.5762159223198635,-22.32777065705056,58.83272950524871,5,1.0,0.5,1.0,0.3,0.2,5.0
2007,72.69556552067763,52.91761883769865,62.806592179188144,44.943858369168254,44.1534515035299,5.80279664621241,-20.14587479517725,58.81971194492294,5,1.0,0.5,0.5,0.3,0.2,5.0
2007,73.84155455904335,49.25690969794661,61.54923212849498,43.76508510414011,44.1534515035299,4.6240233811842675,-18.24860084130544,58.80331983159173,3,0.0,1.0,0.5,0.15,0.0,5.0
2007,72.54608868958645,51.44746641782897,61.996777553707716,45.0064541176135,44.1534515035299,5.865392394657659,-13.899595135347347,58.77627140359998,3,1.0,0.0,1.0,0.15,0.0,5.0
2007,74.98754359740907,53.07800545829538,64.03277452785223,42.529811006449336,44.1534515035299,3.3887492834934925,-8.988938891446644,58.758677301929204,2,0.0,0.0,0.5,0.0,0.2,3.0
2007,74.98754359740907,53.07800545829538,64.03277452785223,42.529811006449336,44.1534515035299,3.3887492834934925,-8.988938891446644,58.758677301929204,2,0.0,0.0,0.5,0.0,0.2,5.0
