windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,model,horizon,a_ml
2007,67.86248131539611,51.35274916208557,59.60761523874084,46.37972571703545,44.1534515035299,7.238663994079608,-13.337323455527674,D,2018-01-01,2024-06-30,57.12110351621578,ridge,90,2.0
2007,68.70951669157948,48.06260204735927,58.38605936946938,43.83556711209647,44.1534515035299,4.694505389140628,-8.684005934221396,D,2018-01-01,2024-06-30,56.272541901837975,ridge,90,1.0
2007,68.2112605879422,45.73782514491713,56.97454286642967,41.46080349939206,44.1534515035299,2.3197417764362083,-4.852697420433117,D,2018-01-01,2024-06-30,54.83603204366713,ridge,90,0.5
2007,58.94369706028899,37.654660285871294,48.29917867308014,44.013177336713156,44.1534515035299,4.872115613757311,-8.411077326967781,D,2018-01-01,2024-06-30,51.47843719850107,hgbr,30,1.0
2007,60.53811659192825,50.7622600699404,55.65018833093433,41.95112557458328,44.1534515035299,2.810063851627436,-20.539912710084103,D,2018-01-01,2024-06-30,51.244621083255765,ridge,30,2.0
2007,59.79073243647235,40.201406565612736,49.99606950104254,42.09957959144241,44.1534515035299,2.9585178684865565,-4.1930119829463735,D,2018-01-01,2024-06-30,50.94515601395737,hgbr,30,0.5
2007,58.29596412556054,49.63029415713801,53.96312914134927,43.52930317654256,44.1534515035299,4.388241453586721,-11.915158961113839,D,2018-01-01,2024-06-30,50.91263365105155,hgbr,90,2.0
2007,59.64125560538116,47.95719384711661,53.79922472624889,40.562068731863285,44.1534515035299,1.421007008907437,-14.435820559617792,D,2018-01-01,2024-06-30,50.10166216862223,ridge,30,1.0
2007,54.7085201793722,34.537782603746265,44.62315139155923,44.67284853593545,44.1534515035299,5.531786812979601,-12.956505578945112,D,2018-01-01,2024-06-30,49.69068435765382,hgbr,30,2.0
2007,59.1429995017439,45.584975760182346,52.36398763096312,39.72754585101628,44.1534515035299,0.5864841280604332,-8.449042094359271,D,2018-01-01,2024-06-30,49.435272676380094,ridge,30,0.5
2007,50.87194818136523,46.02322847383028,48.44758832759776,42.735679934402164,44.1534515035299,3.5946182114463237,-6.598545816555372,D,2018-01-01,2024-06-30,46.8038140578837,hgbr,90,1.0
2007,50.224215246636774,44.82307762180388,47.523646434220325,41.180369363177284,44.1534515035299,2.0393076402214425,-3.474575925214907,D,2018-01-01,2024-06-30,45.70229230490703,hgbr,90,0.5
