windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,selection_metric,a_mvrv,a_flow,mvrv0
2007,80.71748878923766,45.52524390469271,63.12136634696519,45.45419683113743,44.1534515035299,6.313135108181595,-9.358599057680806,63.08584281018754,1.25,0.3,1.6
2007,81.36522172396612,44.64943959315449,63.007330658560306,44.71370147835195,44.1534515035299,5.572639755396101,-8.13314884828955,63.03946160115903,1.0,0.3,1.6
2007,79.62132536123568,46.49168332720224,63.05650434421896,46.08948207787402,44.1534515035299,6.94842035491817,-10.560077521391992,62.85540371955484,1.5,0.3,1.6
2007,82.21225710014947,44.31171251160957,63.26198480587952,43.328933369400055,44.1534515035299,4.187871646444213,-6.01210864788726,62.77059523477476,0.75,0.225,1.6
2007,81.11609367214749,45.088127725826226,63.102110698986856,44.25039205485646,44.1534515035299,5.109330331900614,-7.2553622199041,62.683242863501974,1.0,0.225,1.6
2007,79.52167414050822,45.95934457384722,62.74050935717772,45.08037853454039,44.1534515035299,5.939316811584545,-8.505539260971226,62.301026337524306,1.25,0.225,1.6
2007,80.16940707523668,43.86901840860391,62.01921274192029,43.816688631649804,44.1534515035299,4.675626908693963,-6.912149569640896,61.993047853443244,0.75,0.3,1.6
2007,78.02690582959642,46.919794951002764,62.473350390299586,45.74984910154509,44.1534515035299,6.60878737858924,-9.742757816968382,61.888377465570755,1.5,0.225,1.6
2007,80.81714000996513,44.78508854724674,62.80111427860594,42.87335708379814,44.1534515035299,3.732295360842293,-5.17034794047737,61.845248546881635,0.75,0.15,1.6
2007,76.78126557050324,52.68705974607294,64.73416265828808,45.892300185738456,44.1534515035299,6.751238462782606,-13.454792027310909,61.33678287812084,1.25,0.225,1.8
2007,77.57847533632287,50.40166532964624,63.99007033298456,45.07013092483968,44.1534515035299,5.929069201883833,-11.419958395268463,61.32430313058127,1.0,0.225,1.8
2007,77.97708021923269,50.880823251512076,64.42895173537238,44.63550698035779,44.1534515035299,5.494445257401943,-10.628803186990183,61.30629359979524,1.0,0.15,1.8
2007,76.93074240159442,53.15848504152286,65.04461372155863,45.56326652067758,44.1534515035299,6.422204797721738,-12.706745794927713,61.247004461136,1.25,0.15,1.8
2007,76.98056801195816,49.95043967990986,63.46550384593401,45.43259481804884,44.1534515035299,6.291533095092992,-12.243317226261013,61.2065814150035,1.0,0.3,1.8
2007,78.82411559541605,48.72374520663595,63.77393040102599,43.56900307780166,44.1534515035299,4.4279413548458155,-8.429373267721665,61.19655933660886,0.75,0.15,1.8
2007,76.1335326357748,52.24128380774382,64.18740822175931,46.221776773909525,44.1534515035299,7.080715050953684,-14.223546722727818,61.17765470484216,1.25,0.3,1.8
2007,75.63527653213752,55.07792722552287,65.35660187883019,46.51521812868125,44.1534515035299,7.374156405725402,-15.299938845533461,61.07524733040938,1.5,0.225,1.8
2007,78.9237668161435,49.238774923822206,64.08127086998286,43.14849552534084,44.1534515035299,4.007433802385006,-7.6709225299273065,61.036131170742166,0.75,0.075,1.8
2007,75.28649725959143,54.64069615631045,64.96359670795094,46.77156014949636,44.1534515035299,7.630498426540512,-15.991000966290848,61.02902870454389,1.5,0.3,1.8
