windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,selection_metric,active_terms,a_ma,a_dd,bias,a_mvrv,m_max
2007,72.04783258594918,59.31984622471033,65.68383940532976,44.861165812432816,44.1534515035299,5.720104089476966,-20.697136890648796,58.454499199191,4,1.0,0.5,0.2,1.0,5.0
2007,72.94469357249626,50.88025639222332,61.9124749823598,43.35837803251118,44.1534515035299,4.21731630955534,-19.358178890844677,58.15153580250372,3,1.0,1.0,0.0,0.5,5.0
2007,71.15097159940208,58.727405836156834,64.93918871777946,44.98037957571526,44.1534515035299,5.83931785275942,-18.251953018201437,58.06567558755867,3,0.0,0.5,0.2,1.0,5.0
2007,72.29696063776781,59.319844347068525,65.80840249241817,43.80434455719174,44.1534515035299,4.6632828342358925,-19.3189424447515,58.050652597479775,4,1.0,0.5,0.2,1.0,3.0
2007,72.14748380667663,54.916333093601324,63.53190845013898,43.62721110498606,44.1534515035299,4.486149382030209,-18.229114973376017,57.887347455831346,4,1.0,0.5,0.2,0.5,5.0
2007,72.84504235176881,49.5468724164995,61.195957384134154,42.855488048157035,44.1534515035299,3.7144263252012024,-14.509225006196807,57.85026519996292,3,1.0,0.5,0.0,0.5,5.0
2007,75.0373692077728,45.72560911310751,60.381489160440154,40.662619504103496,44.1534515035299,1.5215577811476522,-10.98616531298238,57.84999435593815,2,1.0,0.5,0.0,0.0,3.0
2007,75.0373692077728,45.72560911310751,60.381489160440154,40.662619504103496,44.1534515035299,1.5215577811476522,-10.98616531298238,57.84999435593815,2,1.0,0.5,0.0,0.0,5.0
2007,72.44643746885899,54.38217559492538,63.41430653189218,43.21469903822868,44.1534515035299,4.073637315272835,-15.100908286290831,57.83056825354383,3,0.0,0.5,0.2,0.5,5.0
2007,72.39661185849526,54.38217559492536,63.38939372671031,43.2071722021451,44.1534515035299,4.066110479189254,-15.111211032612047,57.80189203032018,3,0.0,0.5,0.2,0.5,3.0
2007,72.99451918285999,50.880256379962184,61.93738778141109,42.58573002459228,44.1534515035299,3.4446683016364448,-18.9736573129196,57.790124603726134,3,1.0,1.0,0.0,0.5,3.0
2007,72.39661185849526,50.343704161620735,61.370158010058,43.010800825130914,44.1534515035299,3.869739102175072,-17.044281625868425,57.70370634181309,2,0.0,1.0,0.0,0.5,5.0
2007,72.74539113104136,49.546872416488576,61.146131773764964,42.66197718472882,44.1534515035299,3.520915461772978,-14.51979212016262,57.70368415788509,3,1.0,0.5,0.0,0.5,3.0
2007,72.29696063776781,50.343704160036566,61.32033239890219,42.793850982677064,44.1534515035299,3.6527892597212186,-17.026190953999432,57.545405810222434,2,0.0,1.0,0.0,0.5,3.0
2007,71.64922770303936,55.33429543213213,63.49176156758574,43.440139029672636,44.1534515035299,4.299077306716793,-19.757851034752164,57.544683366356,3,1.0,1.0,0.0,1.0,3.0
2007,71.94818136522171,54.91633309050215,63.43225722786193,43.09052026468621,44.1534515035299,3.9494585417303694,-18.17400130833301,57.51935081495397,4,1.0,0.5,0.2,0.5,3.0
2007,70.10463378176382,60.14546958943479,65.1250516855993,44.82180903434612,44.1534515035299,5.680747311390276,-22.043815779201132,57.46322140805497,3,0.0,1.0,0.2,1.0,5.0
2007,70.6028898854011,55.33429912890121,62.96859450715115,44.31350570405394,44.1534515035299,5.172443981098092,-21.551213879853886,57.45819779472752,3,1.0,1.0,0.0,1.0,5.0
2007,70.95166915794718,58.72740396120508,64.83953655957613,43.87860715235446,44.1534515035299,4.737545429398611,-18.112935981569407,57.41513815515082,3,0.0,0.5,0.2,1.0,3.0
2007,70.95166915794718,60.75737495107361,65.8545220545104,43.81683606133892,44.1534515035299,4.675774338383072,-22.181483968653566,57.38425260964305,4,1.0,1.0,0.2,1.0,3.0
2007,70.95166915794718,60.1454593788165,65.54856426838184,43.79643692493703,44.1534515035299,4.655375201981186,-20.196993318445227,57.37405304144211,3,0.0,1.0,0.2,1.0,3.0
2007,70.30393622321873,53.30787884103189,61.8059075321253,44.33248315144228,44.1534515035299,5.191421428486441,-15.194942559411782,57.31820968733051,2,0.0,0.5,0.0,1.0,5.0
2007,72.24713502740408,49.03579367874833,60.6414643530762,42.37734515044947,44.1534515035299,3.2362834274936194,-11.35081481726558,57.31224008892678,2,0.0,0.5,0.0,0.5,3.0
2007,72.24713502740408,49.03579367874833,60.6414643530762,42.37734515044947,44.1534515035299,3.2362834274936194,-11.35081481726558,57.31224008892678,2,0.0,0.5,0.0,0.5,5.0
2007,70.00498256103637,54.72767993865982,62.366331249848095,44.57133270159179,44.1534515035299,5.430270978635949,-19.721988485073936,57.28815763131408,2,0.0,1.0,0.0,1.0,5.0
2007,70.0548081714001,53.89014936217576,61.97247876678793,44.48410314438339,44.1534515035299,5.343041421427551,-17.78199967329489,57.26945565789174,3,1.0,0.5,0.0,1.0,5.0
2007,69.8555057299452,60.75738510195873,65.30644541595197,44.62241687243813,44.1534515035299,5.481355149482286,-24.593733946662798,57.238961301191665,4,1.0,1.0,0.2,1.0,5.0
2007,70.85201793721974,57.674321248522006,64.26316959287087,43.44864904927882,44.1534515035299,4.307587326322981,-22.70273947159018,57.15033349324928,2,0.0,2.0,0.0,1.0,3.0
