,abs_spearman_ic,permutation_importance,rank_ic,rank_perm,avg_rank
hash_mom,0.48957069827564925,0.030504592497999704,1.0,3.0,2.0
fee_mom,0.3977884725518417,0.1406644235653331,3.0,1.0,2.0
cycle_pos,0.4775062389519585,0.018000381563590896,2.0,4.0,3.0
adr_mom,0.2824540317315908,0.03267649562486048,4.0,2.0,3.0
roi_1yr,0.2515992717064951,-0.02459865929389715,5.0,9.0,7.0
netflow_z,0.159753751388834,-0.024119310822871266,7.0,8.0,7.5
ret_30,0.1486267218033962,-0.013670536877463047,8.0,7.0,7.5
ret_7,0.08340198646671008,-0.0033268606029729806,10.0,6.0,8.0
ret_90,0.01606985034688632,-0.001074800980191881,12.0,5.0,8.5
mvrv,0.1725614787317607,-0.0800125971549492,6.0,13.0,9.5
vol_30,0.09031511697673966,-0.06886259283533518,9.0,11.0,10.0
ma_gap,0.00048791060937210517,-0.030778561924224367,13.0,10.0,11.5
drawdown,0.053142548698400696,-0.07961930433639879,11.0,12.0,11.5
