windows,win_rate,rw_spd_pct,score,mean_pct,uniform_rw_spd_pct,mean_excess,min_excess,regime,start,end,selection_metric,label,shape,m_max,b_quad
2007,93.47284504235176,73.79585688183218,83.63435096209197,52.7767617489322,44.1534515035299,13.635700025976359,-5.13633023381837,D,2018-01-01,2024-06-30,73.12480339564198,shape=pace m_max=12.0 b=0.0,pace,12.0,0.0
2007,92.62580966616841,76.06260399518881,84.34420683067862,53.52358317124551,44.1534515035299,14.38252144828967,-6.633573494875513,D,2018-01-01,2024-06-30,73.07469641870696,shape=pace m_max=12.0 b=0.3,pace,12.0,0.3
2007,93.12406576980567,73.1761248681528,83.15009531897923,51.85700724840907,44.1534515035299,12.715945525453224,-5.13633023381837,D,2018-01-01,2024-06-30,72.49053650910737,shape=pace m_max=8.0 b=0.0,pace,8.0,0.0
2007,92.37668161434978,75.48866323288529,83.93267242361753,52.28506117288659,44.1534515035299,13.14399944993075,-6.909313307032981,D,2018-01-01,2024-06-30,72.33087139361818,shape=pace m_max=8.0 b=0.3,pace,8.0,0.3
2007,92.07772795216741,72.58773694828204,82.33273245022473,50.29195957805735,44.1534515035299,11.150897855101496,-5.973871299684813,D,2018-01-01,2024-06-30,71.18484376511238,shape=pace m_max=5.0 b=0.3,pace,5.0,0.3
2007,92.2272047832586,71.70219944084462,81.96470211205161,50.0556929228843,44.1534515035299,10.91463119992845,-5.162014600262452,D,2018-01-01,2024-06-30,71.14144885307145,shape=pace m_max=5.0 b=0.0,pace,5.0,0.0
2007,73.39312406576981,79.5455710066275,76.46934753619865,50.169405357739805,44.1534515035299,11.028343634783958,-11.90925682381464,D,2018-01-01,2024-06-30,61.78126471175481,shape=tailpay m_max=12.0 b=0.0,tailpay,12.0,0.0
2007,73.04434479322371,80.65680248054208,76.8505736368829,50.38626792824085,44.1534515035299,11.245206205284994,-12.463608766486228,D,2018-01-01,2024-06-30,61.715306360732285,shape=tailpay m_max=12.0 b=0.3,tailpay,12.0,0.3
2007,73.29347284504234,79.54464416284144,76.4190585039419,49.96766088711391,44.1534515035299,10.826599164158067,-11.909773599886027,D,2018-01-01,2024-06-30,61.63056686607813,shape=tailpay m_max=8.0 b=0.0,tailpay,8.0,0.0
2007,72.99451918285999,80.65629298666,76.82540608476,50.102811918526825,44.1534515035299,10.961750195570984,-12.462588558759926,D,2018-01-01,2024-06-30,61.54866555069341,shape=tailpay m_max=8.0 b=0.3,tailpay,8.0,0.3
2007,72.94469357249626,80.08608814156517,76.51539085703072,49.269486589810036,44.1534515035299,10.12842486685419,-12.314161040049711,D,2018-01-01,2024-06-30,61.107090081153146,shape=tailpay m_max=5.0 b=0.3,tailpay,5.0,0.3
2007,72.99451918285999,79.13937780419523,76.0669484935276,49.11403950959724,44.1534515035299,9.972977786641394,-11.959639997033182,D,2018-01-01,2024-06-30,61.05427934622861,shape=tailpay m_max=5.0 b=0.0,tailpay,5.0,0.0
