[ 34/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 67.02 meanpct 44.07 sel 55.54 (1019s)
[ 35/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 68.46 meanpct 43.81 sel 56.14 (1060s)
[ 36/72] {'a_ma': 0.0, 'a_dd': 2.0, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 67.36 meanpct 44.83 sel 56.10 (1101s)
[ 37/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 75.04 meanpct 40.66 sel 57.85 (1141s)
[ 38/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 75.04 meanpct 40.66 sel 57.85 (1181s)
[ 39/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 72.75 meanpct 42.66 sel 57.70 (1221s)
[ 40/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.85 meanpct 42.86 sel 57.85 (1261s)
[ 41/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 70.15 meanpct 43.38 sel 56.77 (1300s)
[ 42/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.0, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 70.05 meanpct 44.48 sel 57.27 (1340s)
[ 43/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 70.70 meanpct 41.60 sel 56.15 (1380s)
[ 44/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 70.70 meanpct 41.60 sel 56.15 (1420s)
[ 45/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 71.95 meanpct 43.09 sel 57.52 (1459s)
[ 46/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.15 meanpct 43.63 sel 57.89 (1491s)
[ 47/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 3.0} -> win 72.30 meanpct 43.80 sel 58.05 (1504s)
[ 48/72] {'a_ma': 1.0, 'a_dd': 0.5, 'bias': 0.2, 'a_mvrv': 1.0, 'm_max': 5.0} -> win 72.05 meanpct 44.86 sel 58.45 (1514s)
[ 49/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 3.0} -> win 72.60 meanpct 41.39 sel 56.99 (1524s)
[ 50/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.0, 'm_max': 5.0} -> win 72.65 meanpct 41.44 sel 57.04 (1533s)
[ 51/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 3.0} -> win 72.99 meanpct 42.59 sel 57.79 (1542s)
[ 52/72] {'a_ma': 1.0, 'a_dd': 1.0, 'bias': 0.0, 'a_mvrv': 0.5, 'm_max': 5.0} -> win 72.94 meanpct 43.36 sel 58.15 (1551s)
