window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2016-01-01 → 2017-01-01,100275.01847945956,272969.2071151107,186496.47341994694,226581.3148645633,49.927247478139954,73.13870685688433,23.211459378744372
2016-01-02 → 2017-01-02,98320.88709000811,272969.2071151107,186137.52393541028,226391.40365524142,50.28198200405254,73.33051732007812,23.04853531602558
2016-01-03 → 2017-01-03,96842.07173230938,272969.2071151107,185774.20138438346,226188.68185339807,50.493144885815376,73.4393424613203,22.946197575504918
2016-01-04 → 2017-01-04,88144.83325140158,272969.2071151107,185380.9052563922,225899.2608674387,52.60998318148948,74.53260884174198,21.922625660252493
2016-01-05 → 2017-01-05,88144.83325140158,272969.2071151107,185024.61791834253,225658.31555005533,52.41721242804308,74.40224437067874,21.985031942635665
2016-01-06 → 2017-01-06,88144.83325140158,272969.2071151107,184700.1657403096,225393.24664262158,52.241666220986986,74.25882773038799,22.017161509401006
2016-01-07 → 2017-01-07,88144.83325140158,272969.2071151107,184369.08755776478,225081.10918846616,52.06253498649463,74.08994445615838,22.027409469663745
2016-01-08 → 2017-01-08,88144.83325140158,272969.2071151107,184074.33291946893,225242.71318254227,51.90305675744179,74.17738097261874,22.274324215176946
2016-01-09 → 2017-01-09,88144.83325140158,272969.2071151107,183775.91467847806,225324.13010764637,51.741596320837836,74.2214319402493,22.479835619411467
2016-01-10 → 2017-01-10,88144.83325140158,272969.2071151107,183470.78072528774,225334.2199274216,51.57650232007832,74.22689107941169,22.650388759333367
2016-01-11 → 2017-01-11,88144.83325140158,272969.2071151107,183209.00233455587,225320.65173196097,51.43486602760268,74.21954995054595,22.784683922943273
2016-01-12 → 2017-01-12,88144.83325140158,272969.2071151107,182939.78740908127,225310.97173288747,51.28920616692157,74.21431254658718,22.925106379665607
2016-01-13 → 2017-01-13,88144.83325140158,272969.2071151107,182652.5746569847,225174.385833648,51.13380850692011,74.14041217490775,23.00660366798764
2016-01-14 → 2017-01-14,88144.83325140158,272969.2071151107,182354.5620087385,224863.49959783783,50.97256751796593,73.97220587759362,22.999638359627696
2016-01-15 → 2017-01-15,88144.83325140158,272969.2071151107,182051.08767611842,224494.4657052178,50.808371461852765,73.77253854751942,22.964167085666652
2016-01-16 → 2017-01-16,88144.83325140158,272969.2071151107,181638.25567589968,222788.63377537622,50.585006982596816,72.84959105191504,22.264584069318225
2016-01-17 → 2017-01-17,88144.83325140158,272969.2071151107,181236.85877774152,221504.69673543033,50.3678295131067,72.154911549907,21.7870820368003
2016-01-18 → 2017-01-18,88144.83325140158,272969.2071151107,180833.65376554205,220050.76801798196,50.149673755957046,71.36825734026228,21.21858358430523
2016-01-19 → 2017-01-19,88144.83325140158,272969.2071151107,180427.6621177894,218603.12410948615,49.930010277993894,70.5850035527703,20.65499327477641
2016-01-20 → 2017-01-20,88144.83325140158,272969.2071151107,180011.51207552457,216952.16315847283,49.7048505582203,69.69174422960835,19.986893671388046
2016-01-21 → 2017-01-21,88144.83325140158,272969.2071151107,179658.4539306847,216146.66987470517,49.51382697325729,69.25592872165936,19.74210174840207
2016-01-22 → 2017-01-22,88144.83325140158,272969.2071151107,179288.1118690071,215091.26735059454,49.31345185284666,68.68489877466281,19.37144692181615
2016-01-23 → 2017-01-23,88144.83325140158,272969.2071151107,178869.48798663827,213389.28206903464,49.08695365154475,67.76403252418929,18.677078872644536
