window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2016-01-01 → 2017-01-01,100275.01847945956,272969.2071151107,186496.47341994694,231231.5507405991,49.927247478139954,75.83146444923554,25.904216971095586
2016-01-02 → 2017-01-02,98320.88709000811,272969.2071151107,186137.52393541028,231207.29289290638,50.28198200405254,76.0879954549796,25.806013450927068
2016-01-03 → 2017-01-03,96842.07173230938,272969.2071151107,185774.20138438346,231175.6830935137,50.493144885815376,76.27082054632787,25.777675660512493
2016-01-04 → 2017-01-04,88144.83325140158,272969.2071151107,185380.9052563922,231063.0465886325,52.60998318148948,77.32649668956535,24.716513508075863
2016-01-05 → 2017-01-05,88144.83325140158,272969.2071151107,185024.61791834253,231004.4858317429,52.41721242804308,77.29481214728048,24.877599719237402
2016-01-06 → 2017-01-06,88144.83325140158,272969.2071151107,184700.1657403096,230927.65972548738,52.241666220986986,77.25324506137645,25.01157884038946
2016-01-07 → 2017-01-07,88144.83325140158,272969.2071151107,184369.08755776478,230809.73450083376,52.06253498649463,77.18944112567877,25.126906139184136
2016-01-08 → 2017-01-08,88144.83325140158,272969.2071151107,184074.33291946893,231171.24052440564,51.90305675744179,77.38503547073981,25.48197871329802
2016-01-09 → 2017-01-09,88144.83325140158,272969.2071151107,183775.91467847806,231458.9317304485,51.741596320837836,77.54069200024874,25.799095679410904
2016-01-10 → 2017-01-10,88144.83325140158,272969.2071151107,183470.78072528774,231681.69768641077,51.57650232007832,77.66122045182978,26.08471813175146
2016-01-11 → 2017-01-11,88144.83325140158,272969.2071151107,183209.00233455587,231887.41942648357,51.43486602760268,77.77252705916312,26.337661031560444
2016-01-12 → 2017-01-12,88144.83325140158,272969.2071151107,182939.78740908127,232103.82809462937,51.28920616692157,77.88961587359913,26.600409706677553
2016-01-13 → 2017-01-13,88144.83325140158,272969.2071151107,182652.5746569847,232200.13828916076,51.13380850692011,77.94172490690359,26.807916399983476
2016-01-14 → 2017-01-14,88144.83325140158,272969.2071151107,182354.5620087385,232129.11525629787,50.97256751796593,77.90329759811408,26.93073008014815
2016-01-15 → 2017-01-15,88144.83325140158,272969.2071151107,182051.08767611842,232007.04803676848,50.808371461852765,77.83725261877633,27.028881156923568
2016-01-16 → 2017-01-16,88144.83325140158,272969.2071151107,181638.25567589968,230555.798178307,50.585006982596816,77.05204781698346,26.467040834386644
2016-01-17 → 2017-01-17,88144.83325140158,272969.2071151107,181236.85877774152,229534.3342467741,50.3678295131067,76.49938048735616,26.131550974249464
2016-01-18 → 2017-01-18,88144.83325140158,272969.2071151107,180833.65376554205,228350.8627070072,50.149673755957046,75.8590582641414,25.70938450818435
2016-01-19 → 2017-01-19,88144.83325140158,272969.2071151107,180427.6621177894,227182.1074567848,49.930010277993894,75.22669835089519,25.296688072901297
2016-01-20 → 2017-01-20,88144.83325140158,272969.2071151107,180011.51207552457,225818.62789051884,49.7048505582203,74.48898203255321,24.78413147433291
2016-01-21 → 2017-01-21,88144.83325140158,272969.2071151107,179658.4539306847,225309.33701510122,49.51382697325729,74.21342807569621,24.699601102438926
2016-01-22 → 2017-01-22,88144.83325140158,272969.2071151107,179288.1118690071,224559.04610126393,49.31345185284666,73.80748004073057,24.494028187883906
2016-01-23 → 2017-01-23,88144.83325140158,272969.2071151107,178869.48798663827,223171.4058253019,49.08695365154475,73.05669146942162,23.96973781787687
2016-01-24 → 2017-01-24,88144.83325140158,272969.2071151107,178471.19459783638,221859.2994287576,48.87145534876376,72.34677081928494,23.47531547052118
2016-01-25 → 2017-01-25,88144.83325140158,272969.2071151107,178100.02753893973,220872.43797647074,48.67063386015948,71.8128253056837,23.142191445524226
2016-01-26 → 2017-01-26,88144.83325140158,272969.2071151107,177702.15213039084,219607.24385130877,48.455361707341424,71.12828673606035,22.67292502871892
2016-01-27 → 2017-01-27,88144.83325140158,272969.2071151107,177301.55531699804,218280.9127769954,48.238617127057765,70.41066976456099,22.172052637503228
2016-01-28 → 2017-01-28,88144.83325140158,272969.2071151107,176906.36533985625,216986.20827112164,48.02479793812697,69.71016448010728,21.685366541980308
2016-01-29 → 2017-01-29,88144.83325140158,272969.2071151107,176484.82036363002,215293.42478917405,47.796719266784045,68.79427690177529,20.997557634991246
2016-01-30 → 2017-01-30,88144.83325140158,272969.2071151107,176061.94953927456,213547.28843441716,47.56792323976908,67.84952252860778,20.2815992888387
2016-01-31 → 2017-01-31,88144.83325140158,272969.2071151107,175621.03759689184,211702.86250253368,47.329365990437964,66.85158816890932,19.522222178471353
2016-02-01 → 2017-02-01,88144.83325140158,271666.63190916245,175153.1718576791,209531.80883385253,47.41035628608583,66.14308298537247,18.732726699286644
2016-02-02 → 2017-02-02,88144.83325140158,271666.63190916245,174689.56397988112,207411.75323678486,47.15773895060378,64.98787656707596,17.83013761647218
2016-02-03 → 2017-02-03,88144.83325140158,271666.63190916245,174227.28691707904,205264.64264036735,46.90584676875776,63.817928031195734,16.912081262437972
2016-02-04 → 2017-02-04,88144.83325140158,269676.7261346181,173750.62530778316,202929.58536231925,47.15743922278918,63.23117678542648,16.073737562637298
2016-02-05 → 2017-02-05,88144.83325140158,269676.7261346181,173320.03043205698,201027.57574059066,46.92023854753197,62.18342170970973,15.263183162177754
2016-02-06 → 2017-02-06,88144.83325140158,269676.7261346181,172877.45448803622,198944.23279155671,46.67643789245618,61.035776017294566,14.359338124838388
2016-02-07 → 2017-02-07,88144.83325140158,269676.7261346181,172408.739359175,197273.68877726462,46.41823801285555,60.11552779657734,13.697289783721793
2016-02-08 → 2017-02-08,88144.83325140158,269676.7261346181,171941.34580854315,195832.73246376598,46.160766147604555,59.321751953328885,13.16098580572433
2016-02-09 → 2017-02-09,88144.83325140158,267729.2928968212,171483.7936330867,194311.45321234793,46.406554635202646,59.1179326822415,12.711378047038856
2016-02-10 → 2017-02-10,88144.83325140158,264803.0427971326,171027.68141976124,193574.78404533223,46.917065661137016,59.6801875582455,12.763121897108483
2016-02-11 → 2017-02-11,88144.83325140158,264803.0427971326,170578.30953782197,192743.1063430186,46.662692041538584,59.20940405803214,12.546712016493558
2016-02-12 → 2017-02-12,88144.83325140158,261578.47259009586,170127.5500022797,192006.4083885758,47.270366385367765,59.885484461492226,12.61511807612446
2016-02-13 → 2017-02-13,88144.83325140158,256674.54400532218,169687.29444132908,191343.2766233671,48.384620625731735,61.23456980392684,12.849949178195104
2016-02-14 → 2017-02-14,88144.83325140158,251689.8114505232,169257.1005626437,190971.11497546203,49.59630567958201,62.873395965032884,13.277090285450875
2016-02-15 → 2017-02-15,88144.83325140158,251689.8114505232,168854.9606051403,190646.5025827339,49.350416162256835,62.67491087774827,13.324494715491433
2016-02-16 → 2017-02-16,88144.83325140158,251689.8114505232,168435.3186451904,190420.1478298561,49.09382500025919,62.53650567853622,13.442680678277036
2016-02-17 → 2017-02-17,88144.83325140158,251689.8114505232,168023.27291295203,190206.33025122323,48.84187857134672,62.40576636694908,13.563887795602362
2016-02-18 → 2017-02-18,88144.83325140158,251689.8114505232,167624.10213999957,190005.36600067824,48.59780456959629,62.28288625607199,13.685081686475698
2016-02-19 → 2017-02-19,88144.83325140158,251689.8114505232,167234.67811188666,189813.38202655103,48.3596902401922,62.16549715844194,13.805806918249736
2016-02-20 → 2017-02-20,88144.83325140158,251689.8114505232,166835.62225223015,189627.06960735237,48.11568650247386,62.051575947744894,13.935889445271037
2016-02-21 → 2017-02-21,88144.83325140158,251689.8114505232,166458.00278892898,189468.0629787039,47.884790104761535,61.95435093331806,14.069560828556526
2016-02-22 → 2017-02-22,88144.83325140158,251689.8114505232,166078.1183243448,189307.2622613749,47.65250876615531,61.856028918726324,14.203520152571016
2016-02-23 → 2017-02-23,84114.06710114426,251689.8114505232,165684.55177646494,189141.41684190877,48.67678493210464,62.674553616657555,13.997768684552916
2016-02-24 → 2017-02-24,84114.06710114426,251689.8114505232,165265.68698425943,188951.41458491283,48.426829430589926,62.56117070570368,14.134341275113755
2016-02-25 → 2017-02-25,84114.06710114426,251689.8114505232,164859.64767736723,188771.46861607168,48.18452747426046,62.453788835171174,14.269261360910711
2016-02-26 → 2017-02-26,84114.06710114426,251689.8114505232,164447.72546434795,188587.36577094454,47.93871492267755,62.34392636919084,14.405211446513292
2016-02-27 → 2017-02-27,83741.40168431975,251689.8114505232,164044.81661026474,188413.9733403071,47.81433479348405,62.32424099858955,14.509906205105501
2016-02-28 → 2017-02-28,83741.40168431975,251689.8114505232,163644.740461663,188088.9977672015,47.57612107704656,62.13074373740204,14.554622660355484
2016-02-29 → 2017-02-28,83741.40168431975,251689.8114505232,163461.003818709,187825.92682002246,47.466720432402305,61.97410578676871,14.507385354366406
2016-03-01 → 2017-03-01,81402.75502744006,251689.8114505232,163059.29716565687,187513.96702656095,47.95228941848566,62.31314007535869,14.360850656873026
2016-03-02 → 2017-03-02,79180.86023057195,251689.8114505232,162644.35578767446,187197.524288832,48.38212450244707,62.615106807146105,14.232982304699036
2016-03-03 → 2017-03-03,77557.66620995408,251689.8114505232,162210.46406959204,187013.45003635282,48.61411300175932,62.857885128091695,14.243772126332374
2016-03-04 → 2017-03-04,77557.66620995408,251689.8114505232,161774.11278519878,186828.79959306383,48.36352671064667,62.75184471663642,14.388318005989753
2016-03-05 → 2017-03-05,77557.66620995408,251689.8114505232,161318.50936009956,186628.33341830512,48.10188436743095,62.636721702168444,14.534837334737496
2016-03-06 → 2017-03-06,77557.66620995408,247705.51160938002,160843.91323223722,186412.06697870966,48.94933980901537,63.97636156556516,15.027021756549793
2016-03-07 → 2017-03-07,77557.66620995408,244557.62237222082,160388.45008512968,186205.45626966373,49.59928480142381,65.05857399994838,15.459289198524566
2016-03-08 → 2017-03-08,77557.66620995408,244557.62237222082,159964.40281601672,186012.7566305938,49.34536421434238,64.9431849642275,15.597820749885116
2016-03-09 → 2017-03-09,77557.66620995408,244557.62237222082,159529.2476262797,185817.54009683695,49.08479217603946,64.82628880554398,15.741496629504525
2016-03-10 → 2017-03-10,77557.66620995408,244557.62237222082,159115.6694984099,185651.59349172752,48.837140537455824,64.726919554843,15.88977901738717
2016-03-11 → 2017-03-11,77557.66620995408,244557.62237222082,158691.58966148514,185489.9904142832,48.58320044868556,64.63015121959427,16.04695077090871
2016-03-12 → 2017-03-12,77557.66620995408,244557.62237222082,158262.11745525664,185324.78807110837,48.326031395412755,64.53122763483935,16.2051962394266
2016-03-13 → 2017-03-13,77557.66620995408,244557.62237222082,157816.5957324435,185148.60560327565,48.059251850644344,64.42572912341369,16.366477272769345
2016-03-14 → 2017-03-14,77557.66620995408,244557.62237222082,157372.30451991284,184974.42499746365,47.793209138573836,64.32142933207557,16.52822019350173
2016-03-15 → 2017-03-15,77557.66620995408,244557.62237222082,156931.0529169142,184769.79641452595,47.52898655244938,64.19889721431927,16.669910661869892
2016-03-16 → 2017-03-16,77557.66620995408,244557.62237222082,156505.038914342,184565.62458511294,47.27388828035268,64.07663860173939,16.80275032138671
2016-03-17 → 2017-03-17,77557.66620995408,244557.62237222082,156104.7168271074,184369.6047136001,47.03417439273606,63.95926140235715,16.925087009621087
2016-03-18 → 2017-03-18,77557.66620995408,244557.62237222082,155735.86482722234,184078.7087872361,46.81330487374849,63.78507217916876,16.971767305420265
2016-03-19 → 2017-03-19,77557.66620995408,244424.4163880815,155335.4834824195,183904.6880728526,46.61073412734348,63.73170314000534,17.12096901266186
2016-03-20 → 2017-03-20,77557.66620995408,242953.27742632237,154930.94063184116,183731.08957750973,46.78073006463782,64.19361589266175,17.41288582802393
