window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2025-09-01 → 2026-09-01,801.1250765566017,1708.6693076829465,1264.7732911823393,1366.7209444957314,51.08822233934627,62.321576022490255,11.233353683143989
2025-09-02 → 2026-09-02,801.1250765566017,1708.6693076829465,1265.8061616965144,1365.7156690549623,51.20203172502141,62.21080726805484,11.00877554303343
2025-09-03 → 2026-09-03,801.1250765566017,1708.6693076829465,1266.7108425350289,1364.292315450737,51.30171621504254,62.05397153978861,10.752255324746073
2025-09-04 → 2026-09-04,801.1250765566017,1708.6693076829465,1267.6955067689394,1362.629105733562,51.4102138728028,61.8707066739968,10.460492801194
2025-09-05 → 2026-09-05,801.1250765566017,1708.6693076829465,1268.6549404964594,1361.1850923132213,51.51593144497328,61.71159449292452,10.195663047951236
2025-09-06 → 2026-09-06,801.1250765566017,1708.6693076829465,1269.5887372077264,1359.597002368952,51.61882413926192,61.536606884629286,9.917782745367369
2025-09-07 → 2026-09-07,801.1250765566017,1708.6693076829465,1270.5657102343596,1358.1945569059806,51.72647432237428,61.382074971487064,9.655600649112785
2025-09-08 → 2026-09-08,801.1250765566017,1708.6693076829465,1271.5940097996693,1357.2535365702488,51.839780046772255,61.278386324316244,9.43860627754399
2025-09-09 → 2026-09-09,801.1250765566017,1708.6693076829465,1272.6505324734878,1356.2864236407788,51.956195604007114,61.171822600334465,9.215626996327352
2025-09-10 → 2026-09-10,801.1250765566017,1708.6693076829465,1273.7631622085296,1355.5788185864556,52.07879345619785,61.09385339177644,9.015059935578591
2025-09-11 → 2026-09-11,801.1250765566017,1708.6693076829465,1274.9052379012953,1355.0379895411938,52.20463588388298,61.03426080920992,8.82962492532694
2025-09-12 → 2026-09-12,801.1250765566017,1708.6693076829465,1276.0753218927523,1354.5530015928216,52.333564475055304,60.98082121566301,8.647256740607709
2025-09-13 → 2026-09-13,801.1250765566017,1708.6693076829465,1277.282460295829,1354.0053074239293,52.46657599798444,60.92047218251313,8.453896184528688
2025-09-14 → 2026-09-14,801.1250765566017,1708.6693076829465,1278.4167792308008,1353.5959344225455,52.59156372817628,60.87536440844071,8.283800680264427
